ID,Owner,Tree Farm,Site #,Treatment,Survey Date,Subplot #,Subplot Code,Lat,Long,Elevation,Start Time,Temp,Humidity,Weather,Canopy Cover,CWD Cover,Veg Cover,FWD Cover,Uphill bearing,Downhill bearing,Litter 1,Litter 2,Litter 3,Soil Moist 1,us,Soil Moist 2,us,Soil Moist 3,us,Soil Moist Avg,Litter Avg,Notes
1,WY,,10506,BS,3/13/2023,1,WY10506_BS_01,45.083879,122.422965,,,43,89.9,R,0,1,1,1,,,0,0,0,41.5,1.794,39.7,1.758,38.5,1.735,39.9,0,
2,WY,,10506,BS,3/13/2023,2,WY10506_BS_02,45.083989,122.422676,,,33.7,100,SN,0,1,1,2,,,1,2,0,36.9,1.707,23.8,1.564,41.6,1.794,34.1,1,
3,WY,,10506,BS,3/13/2023,3,WY10506_BS_03,45.083636,122.422833,,,39.8,97.5,R,0,1,1,1,,,0,0,0,40.4,1.773,42.1,1.806,35,1.672,39.16666667,0,
4,WY,,10506,BS,3/13/2023,4,WY10506_BS_04,45.083653,122.422996,,,40.3,100,R,0,1,1,1,,,1,0,0,38.5,1.734,38.9,1.742,32.5,1.628,36.63333333,0.333333333,
5,WY,,10506,BS,3/13/2023,5,WY10506_BS_05,45.083696,122.423232,,,45.9,96.8,R,0,1,1,2,,,1,0,0,37.8,1.727,39.8,1.76,36.3,1.692,37.96666667,0.333333333,
6,WY,,10506,BS,3/13/2023,6,WY10506_BS_06,45.083997,122.423215,,,37,100,SN,0,1,1,1,,,6,2,1,32.2,1.623,31.8,1.22,40.1,1.767,34.7,3,
7,WY,,10506,BS,3/13/2023,7,WY10506_BS_07,45.084065,122.4228998,,,36.1,100,R,0,1,1,2,,,0,1,0,39.4,1.752,31.9,1.619,32.1,1.622,34.46666667,0.333333333,
8,WY,,10467,HB,3/14/2023,1,WY10467_HB_01,45.079726,122.410628,,,32.3,94.8,PC,0,1,1,1,,,0,1,0,19.3,1.418,35.3,1.679,38.3,1.732,30.96666667,0.333333333,
9,WY,,10467,HB,3/14/2023,2,WY10467_HB_02,45.079585,122.410308,,,34.5,93.2,PC,0,1,3,1,,,0,1,1,22.4,1.467,26.9,1.538,34.4,1.663,27.9,0.666666667,
10,WY,,10467,HB,3/14/2023,3,WY10467_HB_03,45.0749142,122.410755,,,34,85,PC,0,1,3,1,,,1,0,0,32.8,1.633,25.5,1.516,35.7,1.684,31.33333333,0.333333333,
11,WY,,10467,HB,3/14/2023,4,WY10467_HB_04,45.0796,122.41102,,,31.2,92.4,PC,0,1,4,1,,,1.5,1,T,23.5,1.484,28.1,1.557,31.6,1.614,27.73333333,1.25,
12,WY,,10467,HB,3/14/2023,5,WY10467_HB_05,45.079878,122.411029,,,31.7,86.8,PC,0,1,2,1,,,0,0.5,0.5,16.9,1.348,24.5,1.499,33.8,1.651,25.06666667,0.333333333,
13,WY,,10467,HB,3/14/2023,6,WY10467_HB_06,45.080006,122.410608,,,33.5,85.9,PC,0,1,4,1,,,T,T,1,14,1.336,37.9,1.762,35.9,1.688,29.26666667,1,
14,WY,,10467,HB,3/14/2023,7,WY10467_HB_07,45.079881,122.410216,,,34.4,86.4,PC,0,1,3,1,,,1,T,T,29.1,1.572,32.9,1.635,29.4,1.578,30.46666667,1,
15,WY,,10078,HB,3/15/2023,1,WY10078_HB_01,45.094977,122.396292,,,37.1,89.7,SN,0,1,3,1,,,0,0,T,19.2,1.417,22.5,1.468,37.5,1.716,26.4,0,
16,WY,,10078,HB,3/15/2023,2,WY10078_HB_02,,,,,36.2,86.3,C,0,1,4,1,,,T,T,T,25.7,1.518,29.2,1.574,30.1,1.588,28.33333333,T,
17,WY,,10078,HB,3/15/2023,3,WY10078_HB_03,,,,,36.8,83.2,SN,0,1,3,1,,,T,T,0,26.8,1.536,24.1,1.494,27.3,1.544,26.06666667,0,
18,WY,,10078,HB,3/15/2023,4,WY10078_HB_04,,,,,36.2,92.1,C,0,1,3,1,,,0,T,T,32.6,1.631,31.5,1.612,32.6,1.629,32.23333333,0,
19,WY,,10078,HB,3/15/2023,5,WY10078_HB_05,45.09457,122.39622,,,39.1,87.4,PC,0,1,3,1,,,0.5,T,0,32.9,1.637,37.3,1.712,28.9,1.57,33.03333333,0.25,
20,WY,,10078,HB,3/15/2023,6,WY10078_HB_06,45.09463,122.39655,,,38.5,91.9,PC,0,1,4,1,,,T,0,0,35.4,1.679,29.8,1.585,30.3,1.591,31.83333333,0,
21,WY,,10078,HB,3/15/2023,7,WY10078_HB_07,,,,,38,98.3,PC,0,1,4,1,,,0,1,0,20.8,1.442,39.2,1.748,39,1.745,33,0.333333333,
22,BLM,,12251,UU,3/15/2023,1,BLM12239_UU_01,45.07887,122.58288,,,51.7,63.7,S,3,2,4,1,,,4,6,4,28.9,1.57,22.9,1.476,17.3,1.356,23.03333333,4.666666667,
23,BLM,,12251,UU,3/15/2023,2,BLM12239_UU_02,,,,,48.3,58.9,PC,3,1,3,2,,,6,3,3,23.1,1.478,27.3,1.544,26.7,1.534,25.7,4,
24,BLM,,12251,UU,3/15/2023,3,BLM12239_UU_03,,,,,51.7,66.4,PC,3,2,3,2,,,T,2,2,23.8,1.489,33.1,1.638,29.9,1.586,28.93333333,2,
25,BLM,,12251,UU,3/15/2023,4,BLM12239_UU_04,,,,,47.3,67.3,PC,2,1,4,2,,,0.5,1,1,33.2,1.639,35.5,1.679,26.8,1.536,31.83333333,0.833333333,
26,BLM,,12251,UU,3/15/2023,5,BLM12239_UU_05,45.07853,122.582999,,,50,54.7,PC,3,1,4,4,,,2,4,6,25.1,1.509,12.6,1.314,23.4,1.483,20.36666667,4,
27,BLM,,12251,UU,3/15/2023,6,BLM12239_UU_06,45.078799,122.58332,,,48.1,56.6,PC,4,1,3,3,,,2,3,1,36.6,1.678,39.4,1.749,51.9,2.036,42.63333333,2,
28,BLM,,12251,UU,3/15/2023,7,BLM12239_UU_07,45.0792,122.583131,,,50.1,62.4,PC,3,2,3,4,,,3,2,10,9.8,1.267,10.2,1.274,6.6,1.211,8.866666667,5,
29,BLM,,13924,UU,3/16/2023,1,BLM13924_UU_01,,,,,34.2,76.7,S,2,1,1,4,,,2,1,4,35.1,1.673,34.5,1.663,29.7,1.582,33.1,2.333333333,
30,BLM,,13924,UU,3/16/2023,2,BLM13924_UU_02,45.036227,122.612906,,,36.5,85.6,PC,3,1,4,3,,,6,3.5,2,20.9,1.446,32.5,1.629,24.4,1.499,25.93333333,3.833333333,pacific wrens!
31,BLM,,13924,UU,3/16/2023,3,BLM13924_UU_03,,,,,33.2,88.4,S,1,1,3,4,,,2,6,3,23.6,1.486,24.1,1.493,28.8,1.568,25.5,3.666666667,
32,BLM,,13924,UU,3/16/2023,4,BLM13924_UU_04,,,,,38.1,79.1,S,3,2,3,4,,,2,1,3,34.1,1.656,34.9,1.669,22.4,1.467,30.46666667,2,
33,BLM,,13924,UU,3/16/2023,5,BLM13924_UU_05,,,,,41.3,81.3,S,1,3,3,2,,,5,5,7,19.7,1.425,17.9,1.399,15.3,1.361,17.63333333,5.666666667,canopy gap from big fallen tree
34,BLM,,13924,UU,3/16/2023,6,BLM13924_UU_06,45.036378,122.613652,,,42.8,80,S,1,2,4,4,,,0,1,1,20.3,1.591,18.2,1.557,15.9,1.366,18.13333333,0.666666667,
35,BLM,,13924,UU,3/16/2023,7,BLM13924_UU_07,,,,,35.4,94.4,C,2,1,3,3,,,4,2,3,19.3,1.418,20.6,1.439,32.5,1.629,24.13333333,3,
36,WY,,10258,BS,3/20/2023,1,WY10258_BS_01,45.00723,122.50957,1894,,45.5,100,C,0,1,1,3,280,117,T,0,0,32.3,1.629,25.2,1.511,34.9,1.669,30.8,0,
37,WY,,10258,BS,3/20/2023,2,WY10258_BS_02,45.00746,122.5099,1898,,43.8,89.2,C,0,2,1,3,280,100,T,1,6,31.2,1.607,24.4,1.492,26.7,1.534,27.43333333,3.5,
38,WY,,10258,BS,3/20/2023,3,WY10258_BS_03,45.007509,122.509542,1901,,45.1,91.7,C,0,1,1,3,289,120,0,0,0,10.2,1.198,11.1,1.289,12.8,1.361,11.36666667,0,
39,WY,,10258,BS,3/20/2023,4,WY10258_BS_04,45.00738,122.50916,1880,,42.4,99.5,C,0,2,1,2,256,108,0,0,1,14.6,1.346,14.4,1.343,17.9,1.398,15.63333333,0.333333333,
40,WY,,10258,BS,3/20/2023,5,WY10258_BS_05,45.007175,122.509086,1877,,44.9,85.6,C,0,1,2,4,317,133,T,0,0,10.7,1.282,20.8,1.442,23,1.477,18.16666667,0,
41,WY,,10258,BS,3/20/2023,6,WY10258_BS_06,45.00692,122.50942,1853,,43.7,85.3,R,0,1,1,1,280,117,T,0,T,7.7,1.226,6.8,1.22,8.1,1.266,7.533333333,0,
42,WY,,10258,BS,3/20/2023,7,WY10258_BS_07,45.007015,122.509886,1901,,42.9,91.7,C,0,1,4,2,320,155,1,0,0,21.2,1.449,25.9,1.521,24.8,1.504,23.96666667,0.333333333,
43,WY,,10488,HB,3/21/2023,1,WY10488_HB_01,45.05027,122.40631,2378,,45.2,76.6,S,0,1,1,1,345,142,T,T,0,17.7,1.395,14.1,1.338,20.4,1.435,17.4,0,
44,WY,,10488,HB,3/21/2023,2,WY10488_HB_02,45.05058,122.40639,2370,,47,60.5,S,0,1,1,1,300,120,0,0,0,7.5,1.266,13.9,1.335,22.9,1.475,14.76666667,0,
45,WY,,10488,HB,3/21/2023,3,WY10488_HB_03,45.05057,122.40608,2361,,48.5,52.2,S,0,1,1,1,280,100,0,0,T,24.6,1.502,22.1,1.463,16.5,1.376,21.06666667,0,
46,WY,,10488,HB,3/21/2023,4,WY10488_HB_04,45.05014,122.40591,2346,,43,79.5,S,0,1,1,1,330,140,0,0,0,20.9,1.443,23.8,1.489,18,1.399,20.9,0,
47,WY,,10488,HB,3/21/2023,5,WY10488_HB_05,45.04998,122.40621,2346,,47.3,78.9,S,0,1,1,,330,140,T,0,T,18.3,1.404,23.8,1.489,17.1,1.386,19.73333333,0,
48,WY,,10488,HB,3/21/2023,6,WY10488_HB_06,45.05005,122.40658,2338,,54.2,62.7,S,0,1,1,1,275,95,0,0,0,26.6,1.533,15.7,1.363,24.6,1.502,22.3,0,
49,WY,,10488,HB,3/21/2023,7,WY10488_HB_07,45.05033,122.40676,2375,,50.2,63.6,S,0,1,1,1,340,140,0,0,0,12.1,1.304,10.7,1.282,20.3,1.434,14.36666667,0,
50,WY,,11079,HB,3/20/2023,1,WY11079_HB_01,45.01457,122.51431,1906,,38.1,98.6,C,0,1,2,2,265,158,0,0,1,21,1.446,30.6,1.597,32.6,1.629,28.06666667,0.333333333,
51,WY,,11079,HB,3/20/2023,2,WY11079_HB_02,45.01473,122.51467,1909,,39.2,89.9,C,0,1,3,1,310,130,0,T,T,24.1,1.493,40.8,1.78,35.5,1.721,33.46666667,0,
52,WY,,11079,HB,3/20/2023,3,WY11079_HB_03,45.014829,122.514361,1909,,40.2,94.8,C,0,1,3,1,320,127,0,0,T,23,1.477,23.5,1.485,32.6,1.631,26.36666667,0,
53,WY,,11079,HB,3/20/2023,4,WY11079_HB_04,45.014602,122.513933,1893,,40.3,89.8,R,0,1,4,1,316,155,1,0,T,19.8,1.426,26.3,1.528,31.1,1.605,25.73333333,0.5,
54,WY,,11079,HB,3/20/2023,5,WY11079_HB_05,45.01431,122.51402,1873,,39.5,100,R,0,1,3,3,290,88,0,T,T,23,1.477,25.4,1.515,25.7,1.519,24.7,0,
55,WY,,11079,HB,3/20/2023,6,WY11079_HB_06,45.01431,122.51431,1886,,41.3,100,C,0,1,3,1,270,90,1,T,0,34.4,1.66,27,1.539,33.9,1.651,31.76666667,0.5,
56,WY,,11079,HB,3/20/2023,7,WY11079_HB_07,45.014383,122.514662,1906,,40.3,90.8,C,0,1,4,1,330,150,0,T,T,20,1.442,31.1,1.605,28.7,1.509,26.6,0,
57,WY,,10403,BS,3/22/2023,1,WY10403_BS_01,45.04679,122.41316,2073,,55.4,54,S,0,1,2,2,15,195,1,3,2,20.6,1.439,19.8,1.426,40,1.78,26.8,2,
58,WY,,10403,BS,3/22/2023,2,WY10403_BS_02,45.04707,122.41298,2106,,55.8,54.5,PC,0,1,2,1,355,175,T,0,0,14.5,1.344,16.4,1.373,20.7,1.441,17.2,0,
59,WY,,10403,BS,3/22/2023,3,WY10403_BS_03,45.04689,122.41275,2096,,55.4,66.7,PC,0,1,2,1,355,175,0,0,T,11.6,1.298,13.3,1.325,21.5,1.453,15.46666667,0,
60,WY,,10403,BS,3/22/2023,4,WY10403_BS_04,45.04662,122.41285,2098,,62.9,58.2,S,0,1,1,2,42,198,1,0,0,31.1,1.605,18.8,1.411,26.8,1.536,25.56666667,0.333333333,
61,WY,,10403,BS,3/22/2023,5,WY10403_BS_05,45.04656,122.914338,2077,,59.2,52.1,S,0,1,1,1,15,195,1,T,T,23.1,1.479,17.9,1.398,12.6,1.313,17.86666667,1,
62,WY,,10403,BS,3/22/2023,6,WY10403_BS_06,45.04686,122.41355,2067,,60.1,43.1,PC,0,1,3,1,358,178,T,0,T,16.5,1.376,19.4,1.442,37.5,1.716,24.46666667,0,
63,WY,,10403,BS,3/22/2023,7,WY10403_BS_07,45.047102,122.413356,2110,,63.5,47,S,0,1,1,2,53,208,0,0,0,12.6,1.313,14.1,1.337,20.4,1.437,15.7,0,
64,WY,,10963,UU,3/21/2023,1,WY10963_UU_01,45.06031,122.41493,2333,,48.6,64.7,S,4,2,1,4,180,350,2,4,1,28.9,1.57,26.4,1.529,30,1.588,28.43333333,2.333333333,
65,WY,,10963,UU,3/21/2023,2,WY10963_UU_02,45.06015,122.4146,2346,,49.7,70.4,S,4,1,4,4,183,6,2,3,3,20.9,1.443,15.7,1.363,17.4,1.389,18,2.666666667,
66,WY,,10963,UU,3/21/2023,3,WY10963_UU_03,45.060078,122.415089,2200,,49.9,64.9,S,4,1,3,4,107,300,6,8,10,29.2,1.574,15.3,1.356,18,1.399,20.83333333,8,
67,WY,,10963,UU,3/21/2023,4,WY10963_UU_04,45.06048,122.41551,2289,,49.8,64.1,S,3,1,1,4,170,350,3,6,1,23.3,1.481,19,1.415,31.4,1.611,24.56666667,3.333333333,
68,WY,,10963,UU,3/21/2023,5,WY10963_UU_05,45.06065,122.41523,2270,,48.6,66.9,S,3,1,2,4,170,350,5,5,3,17.9,1.397,22.8,1.473,29.4,1.578,23.36666667,4.333333333,
69,WY,,10963,UU,3/21/2023,6,WY10963_UU_06,45.06068,122.414902,2232,,48.2,75,S,4,1,4,4,163,347,3,3,1,22.9,1.476,25.7,1.519,25.5,1.516,24.7,2.333333333,
70,WY,,10963,UU,3/21/2023,7,WY10963_UU_07,45.060511,122.414784,2290,,49.1,70.5,S,4,1,2,3,166,351,3,4,4,22.4,1.467,19.1,1.416,18.1,1.401,19.86666667,3.666666667,
71,WY,,10444,HU,3/22/2023,1,WY10444_HU_01,45.04747,122.4257,2172,,47.3,53.6,S,0,1,1,4,45,225,T,T,T,21,1.446,23.3,1.482,18.5,1.406,20.93333333,#DIV/0!,
72,WY,,10444,HU,3/22/2023,2,WY10444_HU_02,45.0476,122.42527,2185,,50.4,54.8,S,0,1,1,4,45,215,2,5,6,16.2,1.371,19.9,1.429,23.4,1.483,19.83333333,4.333333333,
73,WY,,10444,HU,3/22/2023,3,WY10444_HU_03,45.047355,122.425299,2159,,53.3,55.4,S,0,1,1,4,53,290,0,0,T,20.4,1.435,21.9,1.459,15.1,1.353,19.13333333,0,
74,WY,,10444,HU,3/22/2023,4,WY10444_HU_04,45.047157,122.425789,2165,,48,63.4,S,0,0,1,4,71,250,4,0,0,9.6,1.262,26,1.524,19.8,1.427,18.46666667,1.333333333,
75,WY,,10444,HU,3/22/2023,5,WY10444_HU_05,45.04745,122.42603,2125,,50.2,55.5,S,0,2,1,4,50,230,5,2,5,15.5,1.359,28.6,1.564,14.9,1.349,19.66666667,4,
76,WY,,10444,HU,3/22/2023,6,WY10444_HU_06,45.04761,122.42603,2131,,51.8,52.6,S,0,1,1,4,70,250,2,1,T,40.8,1.78,23,1.478,12.1,1.304,25.3,1.5,
77,WY,,10444,HU,3/22/2023,7,WY10444_HU_07,45.04781,122.42561,2180,,52.8,53.1,S,0,1,1,4,84,300,T,2,T,15.1,1.354,15.3,1.357,11.9,1.303,14.1,2,
78,WY,,10597,HB,3/23/2023,1,WY10597_HB_01,45.08598,45.3476,2539,,37.4,87.3,SN,0,1,1,2,190,10,T,T,T,26.9,1.537,32.9,1.637,34,1.655,31.26666667,#DIV/0!,
79,WY,,10597,HB,3/23/2023,2,WY10597_HB_02,45.08578,122.3481,2559,,37.8,91,SN,0,2,1,1,180,0,T,0,0,22.9,1.475,20.9,1.443,34.4,1.661,26.06666667,0,
80,WY,,10597,HB,3/23/2023,3,WY10597_HB_03,45.085971,122.348164,2531,,39.1,83.5,SN,0,1,1,1,212,40,T,0,0,17.4,1.389,27.7,1.549,21,1.446,22.03333333,0,
81,WY,,10597,HB,3/23/2023,4,WY10597_HB_04,45.086223,122.347995,2515,,38.1,88.3,R,0,1,4,1,230,44,0,0,T,26.4,1.53,23.1,1.478,33.9,1.651,27.8,0,
82,WY,,10597,HB,3/23/2023,5,WY10597_HB_05,45.08622,122.34785,2490,,37.4,89.3,SN,0,1,2,1,162,342,0,1,0,17.4,1.39,15.9,1.366,26.7,1.535,20,0.333333333,
83,WY,,10597,HB,3/23/2023,6,WY10597_HB_06,45.085989,122.347278,2544,,39.8,86,SN,0,1,2,0,207,48,0,0,0,14.7,1.347,19.7,1.425,19.1,1.416,17.83333333,0,
84,WY,,10597,HB,3/23/2023,7,WY10597_HB_07,45.08571,122.34752,2515,,37.8,86,SN,0,2,1,1,175,355,0,T,0,23.4,1.483,28.4,1.561,25.2,1.511,25.66666667,0,
85,BLM,,15562,BU,3/27/2023,1,BLM15562_BU_01,45.0008,122.5664,1263,,49.8,66,C,2,1,3,2,30,210,0,1,1,30.3,1.591,38.2,1.725,18.5,1.734,29,0.666666667,for 1-7: elevation is wonky for several of the subplots -BZ
86,BLM,,15562,BU,3/27/2023,2,BLM15562_BU_02,45.00102,122.56621,1220,,50.9,58.8,C,2,1,4,4,45,225,T,T,1,36.8,1.701,36.6,1.698,42.2,1.799,38.53333333,1,
87,BLM,,15562,BU,3/27/2023,3,BLM15562_BU_03,45.001,122.56601,1213,,52.5,62.6,PC,1,2,3,2,42,222,0,2,T,24.3,1.498,41.6,1.789,39.6,1.749,35.16666667,1,
88,BLM,,15562,BU,3/27/2023,4,BLM15562_BU_04,45.00032,122.566309,1195,,50.4,53.2,PC,1,1,4,3,65,243,T,0,1,41.6,1.79,42,1.797,40.2,1.761,41.26666667,0.5,
89,BLM,,15562,BU,3/27/2023,5,BLM15562_BU_05,45.000594,122.588822,1147,,50.4,48.4,C,2,2,4,2,60,237,1,T,2,28.6,1.564,37.1,1.704,31.2,1.605,32.3,1.5,"elev was originally recorded as 1047, corrected to 1147"
90,BLM,,15562,BU,3/27/2023,6,BLM15562_BU_06,45.0009,122.5668,1220,,49.2,67.6,PC,1,1,2,2,45,225,0,0,T,31.9,1.619,28.2,1.557,37.1,1.707,32.4,0,
91,BLM,,15562,BU,3/27/2023,7,BLM15562_BU_07,45.00119,122.56644,1276,15:00,53.5,42.9,C,1,1,4,3,40,220,T,0,0,42.3,1.805,48.9,1.959,35.7,1.679,42.3,0,
92,WY,,10956,BS,3/28/2023,1,WY10956_BS_01,45.09761,122.4143,1778,12:40,43.4,74.6,C,0,2,1,2,30,210,0,0.5,0,27.9,1.553,18.9,1.414,28.9,1.569,25.23333333,0.166666667,
93,WY,,10956,BS,3/28/2023,2,WY10956_BS_02,45.09789,122.41398,1759,12:50,44.1,76.4,C,0,2,2,2,18,198,0,0,0,30.3,1.593,33.2,1.639,16.4,1.373,26.63333333,0,elevation higher at 1 than at 2?
94,WY,,10956,BS,3/28/2023,3,WY10956_BS_03,45.09765,122.41381,1759,13:10,43.8,70.8,C,0,2,1,2,30,210,T,0,1,15.9,1.376,31.4,1.609,20.7,1.441,22.66666667,0.5,
95,WY,,10956,BS,3/28/2023,4,WY10956_BS_04,45.097386,122.414016,1742,12:40,44.7,69.8,C,0,2,1,3,70,228,0,1,0,26,1.524,20.5,1.438,31.1,1.605,25.86666667,0.333333333,bearings seem off for 4 and 5
96,WY,,10956,BS,3/28/2023,5,WY10956_BS_05,45.097337,122.414513,1744,13:15,44.4,70,C,0,2,1,1,96,252,0,0,0,24.9,1.507,25.4,1.513,22,1.461,24.1,0,"VERY burnt, all logs 100% charred"
97,WY,,10956,BS,3/28/2023,6,WY10956_BS_06,45.09765,122.41464,1765,13:35,45,79.6,C,0,1,1,2,25,205,1,0,0,29.1,1.573,26.1,1.525,26.9,1.537,27.36666667,0.333333333,
98,WY,,10956,BS,3/28/2023,7,WY10956_BS_07,45.09786,122.41439,1759,13:10,43.5,76.8,C,0,2,1,4,20,200,0,T,0,27.1,1.541,28.1,1.557,27.1,1.541,27.43333333,0,
99,BLM,,16804,BU,3/29/2023,1,BLM16804_BU_01,44.99322,122.47645,1570,12:35,47.7,74.6,PC,1,0,4,2,60,240,1,2,2,30.7,1.598,34.7,1.665,23.5,1.484,29.63333333,1.666666667,
100,BLM,,16804,BU,3/29/2023,2,BLM16804_BU_02,44.99308,122.47611,1658,13:10,50,72.5,PC,1,1,4,3,60,240,0,1,1,35.6,1.682,30.6,1.581,28,1.531,31.4,0.666666667,
101,BLM,,16804,BU,3/29/2023,3,BLM16804_BU_03,44.992772,122.476332,1662,13:44,52.2,70.3,S,1,0,4,3,340,129,1,1,1,30.1,1.691,30.6,1.511,18.2,1.517,26.3,1,
102,BLM,,16804,BU,3/29/2023,4,BLM16804_BU_04,44.992727,122.476816,1585,12:45,48.6,75.8,PC,1,1,4,2,12,247,0,1,1,28,1.555,12.8,1.317,30.1,1.588,23.63333333,0.666666667,
103,BLM,,16804,BU,3/29/2023,5,BLM16804_BU_05,44.992942,122.476967,1593,13:20,50.4,73.6,S,2,1,4,3,188,6,0,0,0,30.2,1.59,29.8,1.562,31.2,1.61,30.4,0,inconsistent up/downhill bearings from 1-7
104,BLM,,16804,BU,3/29/2023,6,BLM16804_BU_06,44.99334,122.47694,1619,13:20,47.3,84.5,PC,2,1,3,2,55,235,T,T,0,35.3,1.675,40.3,1.768,33.1,1.638,36.23333333,0,
105,BLM,,16804,BU,3/29/2023,7,BLM16804_BU_07,44.99334,122.47622,1651,13:00,50.2,78,PC,1,1,2,2,272,92,0,T,0,26.3,1.528,33.9,1.651,27.9,1.533,29.36666667,0,
106,WY,,10422,BS,3/30/2023,1,WY10422_BS_01,45.07703,122.41845,1489,12:50,45.1,66.5,C,0,2,1,4,180,0,T,T,T,33.4,1.645,29.8,1.584,20.4,1.435,27.86666667,#DIV/0!,
107,WY,,10422,BS,3/30/2023,2,WY10422_BS_02,45.07673,122.41828,1511,13:30,49,68.6,C,0,2,1,3,180,0,15,3,2,37.3,1.712,32.1,1.622,24.9,1.505,31.43333333,6.666666667,
108,WY,,10422,BS,3/30/2023,3,WY10422_BS_03,45.07678,122.41866,1490,13:00,48.8,67.3,C,0,1,1,4,180,0,2,0,0,32.3,1.624,21.3,1.45,26.6,1.533,26.73333333,0.666666667,
109,WY,,10422,BS,3/30/2023,4,WY10422_BS_04,45.07701,122.41889,1480,13:26,47.5,64.5,C,0,2,1,4,150,350,0,0,T,18.8,1.412,25.8,1.52,20.4,1.435,21.66666667,0,
110,WY,,10422,BS,3/30/2023,5,WY10422_BS_05,45.07724,122.41867,1484,13:45,50.5,70.9,C,0,2,1,4,130,310,0,0,0,31.9,1.619,31.4,1.609,24.9,1.505,29.4,0,
111,WY,,10422,BS,3/30/2023,6,WY10422_BS_06,45.07729,122.41823,1491,13:25,48,79,C,0,1,2,2,138,318,0,0,0,28.5,1.563,13,1.32,18.4,1.406,19.96666667,0,
112,WY,,10422,BS,3/30/2023,7,WY10422_BS_07,45.07708,122.41798,1499,13:10,47.4,69.4,C,0,1,1,3,150,330,0,0,0,26.6,1.533,30.8,1.601,23.8,1.489,27.06666667,0,
113,WY,,10550,BS,3/30/2023,1,WY10550_BS_01,45.08009,122.39731,2145,9:30,39.8,77.3,C,0,1,1,3,215,65,0,0,0,34.1,1.657,32.3,1.62,31,1.601,32.46666667,0,
114,WY,,10550,BS,3/30/2023,2,WY10550_BS_02,45.07988,122.39745,2146,9:40,43.6,74.7,C,0,1,1,1,180,0,0,0,0,33,1.638,23.2,1.479,24.8,1.504,27,0,Pacific Chorus under log BZ pass 1
115,WY,,10550,BS,3/30/2023,3,WY10550_BS_03,45.0802,122.39772,2136,9:30,40,74.4,C,0,1,2,2,215,65,0,0,0,26.8,1.536,18.2,1.401,30.1,1.589,25.03333333,0,
116,WY,,10550,BS,3/30/2023,4,WY10550_BS_04,45.08036,122.39754,2118,9:50,40.3,75,C,0,1,1,1,215,65,0,0,0,30.1,1.589,18.3,1.404,16.6,1.377,21.66666667,0,
117,WY,,10550,BS,3/30/2023,5,WY10550_BS_05,45.08038,122.39717,2081,10:00,42.5,72.6,C,0,1,1,3,215,65,0,0,0,26.5,1.531,23.9,1.491,13.8,1.333,21.4,0,
118,WY,,10550,BS,3/30/2023,6,WY10550_BS_06,45.08018,122.3969,2074,10:24,44.8,70.8,C,0,2,1,4,215,65,0,T,1,28.2,1.559,18.2,1.403,19.6,1.424,22,0.5,
119,WY,,10550,BS,3/30/2023,7,WY10550_BS_07,45.08,122.2969,2080,10:00,42.2,76.9,C,0,3,1,4,192,12,0,0,0,24.6,1.5,18.8,1.411,28.8,1.596,24.06666667,0,
120,PB,,408143,HU,4/4/2023,1,PB408143_HU_01,45.16277,122.36936,1423,12:30,46,78.6,R,0,1,4,1,200,20,6,3,3,38.7,1.738,21.6,1.456,29,1.571,29.76666667,4,
121,PB,,408143,HU,4/4/2023,2,PB408143_HU_02,45.16246,122.36946,1450,13:30,42.6,82.2,R,0,1,4,1,200,20,1,1,2,32.5,1.62,26,1.524,32.5,1.629,30.33333333,1.333333333,
122,PB,,408143,HU,4/4/2023,3,PB408143_HU_03,45.162638,122.369769,1430,13:15,44.5,90.3,R,0,1,4,2,166,3,3,4,2,36.9,1.706,42.8,1.819,39.6,1.755,39.76666667,3,Some char. Still has 4-5ft saplings. 
